,Acipenser.fulvescens,Amia.calva,Anguilla.rostrata,Aplodinotus.grunniens,Carpiodes.cyprinus,Catostomus.catostomus,Catostomus.commersonii,Coregonus.artedi,Coregonus.clupeaformis,Couesius.plumbeus,Esox.americanus,Esox.lucius,Esox.masquinongy,Gymnocephalus.cernuus,Hiodon.tergisus,Ichthyomyzon.castaneus,Ichthyomyzon.unicuspis,Ictalurus.punctatus,Ictiobus.cyprinellus,Ictiobus.niger,Lepisosteus.osseus,Lota.lota,Micropterus.dolomieu,Morone.americana,Morone.chrysops,Moxostoma.anisurum,Moxostoma.macrolepidotum,Moxostoma.valenciennesi,Neogobius.melanostomus,Notropis.atherinoides,Notropis.hudsonius,Oncorhynchus.gorbuscha,Oncorhynchus.kisutch,Oncorhynchus.mykiss,Oncorhynchus.tshawytscha,Osmerus.mordax,Perca.flavescens,Percina.caprodes,Percina.copelandi,Percina.shumardi,Percopsis.omiscomaycus,Petromyzon.marinus,Prosopium.cylindraceum,Rhinichthys.cataractae,Salmo.salar,Salmo.trutta,Salvelinus.fontinalis,Salvelinus.namaycush,Sander.canadensis,Sander.vitreus
Acipenser.fulvescens,NA,0.105263158,0.2,0.243478261,0.231578947,0.300578035,0.088582677,0.4,0.357894737,0.185344828,0.189473684,0.168,0.368421053,0.052631579,0.031578947,0.168421053,0.300699301,0.298245614,0.063157895,0.010526316,0.227272727,0.295,0.190930788,0.177570093,0.255102041,0.394736842,0.388157895,0.336842105,0.142857143,0.142512077,0.166292135,0.136842105,0.195833333,0.128410915,0.245,0.299145299,0.139020537,0.204488778,0.084210526,0.042105263,0.25,0.164556962,0.221052632,0.140767824,0.084210526,0.16519174,0.148423006,0.385245902,0.157894737,0.29707113
Amia.calva,0.105263158,NA,0.066666667,0.104347826,0.1125,0.040462428,0.01476378,0.078571429,0.012195122,0.017241379,0.260869565,0.03,0.082352941,0,0.125,0.36,0.083916084,0.105263158,0.088235294,0,0.109090909,0.04,0.033412888,0.056074766,0.06122449,0.114035088,0.085526316,0.173913043,0.064935065,0.031400966,0.035955056,0.038461538,0.041666667,0.024077047,0.06,0.017094017,0.022116904,0.034912718,0.173913043,0.25,0.035087719,0.035443038,0.069767442,0.016453382,0.024390244,0.041297935,0.020408163,0.032786885,0.08,0.062761506
Anguilla.rostrata,0.2,0.066666667,NA,0.191304348,0.175,0.121387283,0.058070866,0.142857143,0.134146341,0.064655172,0.2,0.106,0.223529412,0.05,0.066666667,0.066666667,0.111888112,0.228070175,0.133333333,0,0.245454545,0.08,0.131264916,0.214953271,0.193877551,0.201754386,0.184210526,0.289855072,0.116883117,0.103864734,0.105617978,0.066666667,0.104166667,0.075441413,0.15,0.179487179,0.090047393,0.124688279,0.083333333,0.066666667,0.114035088,0.070886076,0.116666667,0.084095064,0.283333333,0.135693215,0.079777365,0.12295082,0.116666667,0.163179916
Aplodinotus.grunniens,0.243478261,0.104347826,0.191304348,NA,0.469565217,0.12716763,0.109251969,0.164285714,0.07826087,0.064655172,0.191304348,0.18,0.32173913,0.026086957,0.104347826,0.095652174,0.223776224,0.660869565,0.260869565,0.008695652,0.573913043,0.09,0.207637232,0.608695652,0.626086957,0.513043478,0.513157895,0.347826087,0.329004329,0.258454106,0.211235955,0.069565217,0.141666667,0.118780096,0.19,0.273504274,0.157977883,0.2319202,0.07826087,0.07826087,0.206140351,0.113924051,0.060869565,0.106032907,0.069565217,0.17699115,0.085343228,0.131147541,0.12173913,0.292887029
Carpiodes.cyprinus,0.231578947,0.1125,0.175,0.469565217,NA,0.115606936,0.077755906,0.135714286,0.109756098,0.038793103,0.2,0.13,0.352941176,0,0.1125,0.1375,0.167832168,0.48245614,0.3125,0,0.454545455,0.075,0.169451074,0.439252336,0.540816327,0.421052632,0.361842105,0.3875,0.255411255,0.171497585,0.161797753,0.0625,0.1375,0.08988764,0.135,0.213675214,0.113744076,0.162094763,0.0875,0.1,0.175438596,0.081012658,0.1,0.07678245,0.05,0.138643068,0.06864564,0.106557377,0.125,0.20083682
Catostomus.catostomus,0.300578035,0.040462428,0.121387283,0.12716763,0.115606936,NA,0.161417323,0.335260116,0.260115607,0.36637931,0.063583815,0.224,0.208092486,0.086705202,0.01734104,0.075144509,0.271676301,0.161849711,0.028901734,0.005780347,0.12716763,0.51,0.212410501,0.104046243,0.10982659,0.242774566,0.323699422,0.12716763,0.134199134,0.188405797,0.215730337,0.167630058,0.275,0.216693419,0.345,0.306358382,0.192733017,0.246882793,0.034682081,0.023121387,0.390350877,0.22278481,0.190751445,0.250457038,0.10982659,0.271386431,0.263450835,0.341040462,0.075144509,0.372384937
Catostomus.commersonii,0.088582677,0.01476378,0.058070866,0.109251969,0.077755906,0.161417323,NA,0.126968504,0.076771654,0.215551181,0.044291339,0.446850394,0.081692913,0.025590551,0.011811024,0.024606299,0.132874016,0.107283465,0.030511811,0.000984252,0.101377953,0.187007874,0.394685039,0.100393701,0.091535433,0.111220472,0.146653543,0.066929134,0.213582677,0.377952756,0.404527559,0.046259843,0.208661417,0.518700787,0.186023622,0.109251969,0.554133858,0.373031496,0.021653543,0.008858268,0.212598425,0.313976378,0.041338583,0.480314961,0.039370079,0.307086614,0.436023622,0.109251969,0.022637795,0.230314961
Coregonus.artedi,0.4,0.078571429,0.142857143,0.164285714,0.135714286,0.335260116,0.126968504,NA,0.485714286,0.280172414,0.107142857,0.228,0.235714286,0.05,0.014285714,0.121428571,0.265734266,0.192857143,0.028571429,0.007142857,0.171428571,0.39,0.23150358,0.085714286,0.114285714,0.257142857,0.322368421,0.15,0.0995671,0.147342995,0.204494382,0.1,0.179166667,0.144462279,0.235,0.328571429,0.199052133,0.219451372,0.064285714,0.035714286,0.315789474,0.172151899,0.192857143,0.151736746,0.064285714,0.15339233,0.185528757,0.6,0.085714286,0.368200837
Coregonus.clupeaformis,0.357894737,0.012195122,0.134146341,0.07826087,0.109756098,0.260115607,0.076771654,0.485714286,NA,0.219827586,0.085365854,0.132,0.235294118,0.06097561,0.012195122,0.073170732,0.118881119,0.114035088,0.012195122,0,0.109090909,0.31,0.119331742,0.056074766,0.081632653,0.157894737,0.184210526,0.134146341,0.038961039,0.096618357,0.116853933,0.134146341,0.1,0.086677368,0.13,0.290598291,0.109004739,0.124688279,0.036585366,0.012195122,0.228070175,0.093670886,0.256097561,0.093235832,0.097560976,0.079646018,0.115027829,0.483606557,0.12195122,0.251046025
Couesius.plumbeus,0.185344828,0.017241379,0.064655172,0.064655172,0.038793103,0.36637931,0.215551181,0.280172414,0.219827586,NA,0.030172414,0.214,0.107758621,0.060344828,0,0.025862069,0.163793103,0.081896552,0.00862069,0.004310345,0.060344828,0.379310345,0.198090692,0.060344828,0.047413793,0.137931034,0.185344828,0.060344828,0.142241379,0.248792271,0.287640449,0.068965517,0.1875,0.22953451,0.228448276,0.232758621,0.210110585,0.239401496,0.017241379,0.00862069,0.418103448,0.205063291,0.125,0.296160878,0.064655172,0.200589971,0.265306122,0.323275862,0.034482759,0.326359833
